Rv0001	dnaA	1	1524	1	1524
Rv0002	dnaN	1525	3260	-527	1209
Rv0003	recF	3261	4433	-19	1154
Rv0004	.	4434	4997	1	564
Rv0005	gyrB	4998	7267	-242	2028
Rv0006	gyrA	7268	9818	-34	2517
Rv0007	Rv0007	9819	10828	-95	915
ileT	ileT	10829	10960	-58	74
alaT	alaT	10961	11184	-151	73
Rv0008c	.	11874	12311	438	1
Rv0009	ppiA	12312	13016	-156	549
Rv0010c	.	13133	13713	426	-155
Rv0011c	.	13714	13995	282	1
Rv0012	Rv0012	13996	14877	-93	789
Rv0013	trpG	14878	15589	-36	676
Rv0014c	pknB	15590	17466	1881	5
Rv0015c	pknA	17467	18762	1296	1
Rv0016c	pbpA	18763	20234	1472	1
Rv0017c	rodA	20235	21636	1406	5
Rv0018c	pstP	21637	23269	1545	-88
Rv0019c	fhaB	23270	23860	468	-123
Rv0020c	fhaA	23861	25444	1584	1
leuT	leuT	25445	25726	-199	83
Rv0021c	.	25913	27022	969	-141
Rv0022c	whiB5	27023	27442	420	1
Rv0023	Rv0023	27443	28365	-152	771
Rv0024	.	28366	29207	5	846
Rv0025	Rv0025	29208	29607	-37	363
Rv0026	Rv0026	29608	31068	-114	1347
Rv0027	Rv0027	31069	31506	-120	318
Rv0028	Rv0028	31507	31819	-7	306
Rv0029	Rv0029	31820	33154	-237	1098
Rv0030	Rv0030	33155	33553	-69	330
Rv0031	Rv0031	33554	33794	-28	213
Rv0032	bioF2	33795	36610	-500	2316
Rv0033	acpA	36611	36866	5	260
Rv0034	.	36867	37262	1	396
Rv0035	fadD34	37263	38947	5	1689
Rv0036c	.	39056	39876	774	-47
Rv0037c	.	39877	41202	1326	1
Rv0038	Rv0038	41203	41912	-101	609
Rv0039c	.	42004	42432	348	-81
Rv0040c	mtc28	42433	43365	933	1
Rv0041	leuS	43366	46471	-196	2910
Rv0042c	.	46581	47365	627	-158
Rv0043c	.	47366	48232	735	-132
Rv0044c	.	48233	49042	795	-15
Rv0045c	.	49043	50020	897	-81
Rv0046c	ino1	50021	51184	1104	-60
Rv0047c	.	51185	51827	543	-100
Rv0048c	.	51828	52697	870	1
Rv0049	Rv0049	52698	53244	-133	414
Rv0050	ponA1	53245	55699	-418	2037
Rv0051	.	55700	57378	5	1683
Rv0052	Rv0052	57379	57973	-31	564
Rv0053	rpsF	57974	58482	-218	291
Rv0054	ssb	58483	59080	-103	495
Rv0055	rpsR1	59081	59376	-41	255
Rv0056	rplI	59377	59867	-32	459
Rv0057	Rv0057	59868	60417	-28	522
Rv0058	dnaB	60418	63020	23	2625
Rv0059	Rv0059	63021	63892	-179	693
Rv0060	Rv0060	63893	64967	-16	1059
Rv0061c	.	65012	65350	339	1
Rv0062	celA1	65351	66694	-201	1143
Rv0063	Rv0063	66695	68362	-228	1440
Rv0064	Rv0064	68363	71559	-257	2940
Rv0064A	vapB1	71560	71820	-29	232
Rv0065	vapC1	71821	72222	1	402
Rv0066c	icd2	72274	74628	2238	-117
Rv0067c	.	74629	75198	570	1
Rv0068	Rv0068	75199	76212	-102	912
Rv0069c	sdaA	76237	77622	1386	1
Rv0070c	glyA2	77623	78896	1274	1
Rv0071	Rv0071	78897	80193	-589	708
Rv0072	Rv0072	80194	81673	-430	1050
Rv0073	Rv0073	81674	82668	-2	993
Rv0074	Rv0074	82669	83983	-79	1236
Rv0075	Rv0075	83984	85168	-12	1173
Rv0076c	.	85183	85635	390	-63
Rv0077c	.	85636	86466	831	1
Rv0078	Rv0078	86467	87133	-61	606
Rv0078A	.	87208	87801	594	1
Rv0078B	.	87802	88004	203	1
Rv0079	Rv0079	88005	89025	-199	822
Rv0080	.	89026	89480	5	459
Rv0081	Rv0081	89481	89919	-94	345
Rv0082	Rv0082	89920	90403	-4	480
Rv0083	.	90404	92322	5	1923
Rv0084	hycD	92323	93278	-5	951
Rv0085	hycP	93279	93950	-10	662
Rv0086	hycQ	93951	95413	1	1463
Rv0087	hycE	95414	96892	1	1479
Rv0088	Rv0088	96893	97601	-34	675
Rv0089	Rv0089	97602	98351	-156	594
Rv0090	Rv0090	98352	99250	-128	771
Rv0091	mtn	99251	100451	-433	768
Rv0092	ctpA	100452	102868	-131	2286
Rv0093c	.	102869	103709	795	-46
Rv0094c	.	103710	104804	954	-141
Rv0095c	.	104805	105215	411	1
Rv0096	PPE1	105216	106715	-108	1392
Rv0097	Rv0097	106716	107599	-18	866
Rv0098	fcoT	107600	108151	1	552
Rv0099	fadD10	108152	109778	-4	1623
Rv0100	Rv0100	109779	110000	-4	218
Rv0101	nrp	110001	117539	1	7539
Rv0102	Rv0102	117540	119699	-174	1986
Rv0103c	ctpB	119915	122173	2259	1
Rv0104	Rv0104	122174	123831	-143	1515
Rv0105c	rpmB1	123980	124264	285	1
Rv0106	Rv0106	124265	125570	-109	1197
Rv0107c	ctpI	125643	130894	4899	-353
Rv0108c	.	130895	131104	210	1
Rv0109	PE_PGRS1	131105	132872	-277	1491
Rv0110	Rv0110	132873	133769	-147	750
Rv0111	Rv0111	133770	136007	-180	2058
Rv0112	gca	136008	137245	-281	957
Rv0113	gmhA	137246	137909	-73	591
Rv0114	gmhB	137910	138512	-31	572
Rv0115	hddA	138513	139673	1	1161
Rv0116c	ldtA	140267	141022	756	1
Rv0117	oxyS	141023	142144	-177	945
Rv0118c	oxcA	142145	143876	1732	1
Rv0119	fadD7	143877	145626	-172	1578
Rv0120c	fusA2	145627	147907	2145	-136
Rv0121c	.	147908	148342	435	1
Rv0122	Rv0122	148343	148859	-148	369
Rv0123	.	148860	149224	5	369
Rv0124	PE_PGRS2	149225	150996	-308	1464
Rv0125	pepA	150997	152215	-151	1068
Rv0126	treS	152216	154129	-108	1806
Rv0127	mak	154130	155599	-102	1368
Rv0128	Rv0128	155600	156446	-67	780
Rv0129c	fbpC	156578	157600	1023	1
Rv0130	htdZ	157601	158302	-246	456
Rv0131c	fadE1	158315	159699	1344	-41
Rv0132c	fgd2	159700	160782	1083	1
Rv0133	Rv0133	160783	161474	-86	606
Rv0134	ephF	161475	162673	-296	903
Rv0135c	.	162674	163249	576	1
Rv0136	cyp138	163250	164691	-116	1326
Rv0137c	msrA	164712	165260	549	1
Rv0138	Rv0138	165261	165826	-62	504
Rv0139	.	165827	166849	1	1023
Rv0140	Rv0140	166850	167290	-60	381
Rv0141c	.	167291	167681	391	1
Rv0142	Rv0142	167682	168637	-29	927
Rv0143c	.	168704	170182	1479	1
Rv0144	Rv0144	170183	171126	-101	843
Rv0145	Rv0145	171127	172168	-88	954
Rv0146	Rv0146	172169	173143	-42	933
Rv0147	Rv0147	173144	174758	-94	1521
Rv0148	Rv0148	174759	175693	-74	861
Rv0149	Rv0149	175694	176668	-6	969
Rv0150c	.	176669	177542	284	-590
Rv0151c	PE1	177543	179318	1767	-9
Rv0152c	PE2	179319	181154	1578	-258
Rv0153c	ptbB	181155	181986	831	-1
Rv0154c	fadE2	181987	183198	1212	1
Rv0155	pntAa	183199	184722	-423	1101
Rv0156	pntAb	184723	185051	1	329
Rv0157	pntB	185052	186479	1	1428
Rv0157A	.	186495	186623	129	1
Rv0158	Rv0158	186624	187429	-161	645
Rv0159c	PE3	187433	188930	1407	-91
Rv0160c	PE4	188931	190439	1509	1
Rv0161	Rv0161	190440	191956	-167	1350
Rv0162c	adhE1	191984	193135	1152	1
Rv0163	.	193136	193572	20	456
Rv0164	TB18.5	193573	194111	-53	486
Rv0165c	mce1R	194144	194815	672	1
Rv0166	fadD5	194816	196657	-177	1665
Rv0167	yrbE1A	196658	197659	-203	-1
Rv0168	yrbE1B	197660	198529	1	870
Rv0169	mce1A	198530	199898	-4	1365
Rv0170	mce1B	199899	200931	5	1037
Rv0171	mce1C	200932	202479	1	1548
Rv0172	mce1D	202480	204068	5	1593
Rv0173	lprK	204069	205230	5	1166
Rv0174	mce1F	205231	206778	1	1548
Rv0175	Rv0175	206779	207455	-35	642
Rv0176	.	207456	208416	5	965
Rv0177	.	208417	208971	1	555
Rv0178	.	208972	209672	35	735
Rv0179c	lprO	209703	210891	1110	-79
Rv0180c	.	210892	212276	1359	-26
Rv0181c	.	212277	213027	735	-16
Rv0182c	sigG	213028	214087	1113	54
Rv0183	.	214088	214927	1	840
Rv0184	Rv0184	214928	215714	-41	746
Rv0185	.	215715	216224	1	510
Rv0186	bglS	216225	218344	-44	2076
Rv0186A	mymT	218390	218551	162	1
Rv0187	Rv0187	218552	219367	-153	663
Rv0188	Rv0188	219368	219917	-118	432
Rv0189c	ilvD	219996	221723	1728	1
Rv0190	Rv0190	221724	222161	-147	291
Rv0191	Rv0191	222162	223530	-127	1242
Rv0192	Rv0192	223531	223909	-33	346
Rv0193c	.	224724	226571	1848	1
Rv0194	Rv0194	226572	230462	-306	3585
Rv0195	Rv0195	230463	231534	-436	636
Rv0196	Rv0196	231535	232231	-112	585
Rv0197	.	232232	234515	2	2285
Rv0198c	zmp1	234516	236507	1992	1
Rv0199	Rv0199	236508	237209	-42	660
Rv0200	.	237210	237895	5	690
Rv0201c	.	237896	238391	500	5
Rv0202c	mmpL11	238392	241292	2901	1
Rv0203	Rv0203	241293	241924	-221	411
Rv0204c	.	241976	243214	1239	1
Rv0205	Rv0205	243215	244483	-169	1100
Rv0206c	mmpL3	244484	247383	2835	-65
Rv0207c	.	247384	248114	729	-2
Rv0208c	.	248115	248906	792	1
Rv0209	Rv0209	248907	250123	-131	1086
Rv0210	.	250124	251598	5	1479
Rv0211	pckA	251599	253602	-183	1821
Rv0212c	nadR	253669	254636	972	5
Rv0213c	.	254637	255950	1314	1
Rv0214	fadD4	255951	257677	-113	1614
Rv0215c	fadE3	257783	258856	1074	1
Rv0216	Rv0216	258857	259922	-56	1010
Rv0217c	lipW	259923	260831	909	1
Rv0218	Rv0218	260832	262253	-92	-1
Rv0219	.	262254	262802	1	549
Rv0220	lipC	262803	264023	-9	1212
Rv0221	Rv0221	264024	265476	-43	1410
Rv0222	echA1	265477	266295	-30	789
Rv0223c	.	266301	267862	1464	-98
Rv0224c	.	267863	268627	765	1
Rv0225	Rv0225	268628	269817	-35	1155
Rv0226c	.	269834	271573	1731	-9
Rv0227c	.	271574	272839	1266	1
Rv0228	Rv0228	272840	274278	-215	1224
Rv0229c	.	274306	274986	681	1
